City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,richards bay,-28.783,32.0377,30.21,59,2,4.67,ZA,1680530672
84,durban,-29.8579,31.0292,25.57,73,35,5.81,ZA,1680530672
85,mwene-ditu,-7.0,23.45,24.9,80,27,1.75,CD,1680530673
86,ahuimanu,21.4447,-157.8378,21.59,95,40,2.06,US,1680530674
87,naze,28.3667,129.4833,18.51,64,100,9.61,JP,1680530511
88,yellowknife,62.456,-114.3525,-18.71,78,75,2.57,CA,1680530674
89,hermanus,-34.4187,19.2345,20.45,74,18,5.84,ZA,1680530674
90,kaitangata,-46.2817,169.8464,10.85,77,99,1.63,NZ,1680530674
91,khatanga,71.9667,102.5,-20.67,97,100,4.32,RU,1680530674
92,lompoc,34.6391,-120.4579,9.4,72,40,12.07,US,1680530674
93,san patricio,28.017,-97.5169,24.94,84,95,4.8,US,1680530393
94,iqaluit,63.7506,-68.5145,-16.15,60,75,2.57,CA,1680530674
95,puerto rondon,6.2805,-71.1,30.04,53,9,3.64,CO,1680530675
96,san policarpo,12.1791,125.5072,26.36,80,59,3.73,PH,1680530675
97,kardailovo,51.5386,53.9042,14.68,37,79,3.24,RU,1680530675
98,itinga,-16.6131,-41.7653,26.17,66,98,1.91,BR,1680530675
99,xining,36.6167,101.7667,3.58,65,100,4.19,CN,1680530675
100,merrill,45.1805,-89.6835,3.87,77,97,0.45,US,1680530675
101,atar,20.5169,-13.0499,37.85,4,1,5.01,MR,1680530675
102,albany,42.6001,-73.9662,6.21,33,65,1.79,US,1680530429
103,hasaki,35.7333,140.8333,9.56,49,0,5.54,JP,1680530453
104,meulaboh,4.1363,96.1285,26.2,78,100,0.61,ID,1680530675
105,sorland,67.667,12.6934,4.92,81,75,7.2,NO,1680530675
106,asfi,32.2994,-9.2372,18.93,73,0,8.0,MA,1680530579
107,dillon,34.4166,-79.3712,18.86,64,93,3.58,US,1680530652
108,mega,4.05,38.3,19.76,68,100,3.08,ET,1680530675
109,kuryk,43.2,51.65,10.73,61,8,3.72,KZ,1680530675
110,ginda,30.6945,78.4932,10.89,71,89,2.62,IN,1680530676
111,laubach,50.542,8.9903,7.91,54,1,6.09,DE,1680530676
112,aguilas,37.4063,-1.5829,18.08,46,44,4.83,ES,1680530676
113,martapura,-3.4167,114.85,27.05,89,40,2.57,ID,1680530676
114,airai,-8.9266,125.4092,15.47,95,100,0.86,TL,1680530676
115,mecca,21.4267,39.8261,30.53,19,6,7.86,SA,1680530381
116,de-kastri,51.4667,140.7833,-0.54,97,100,3.44,RU,1680530676
117,hofn,64.2539,-15.2082,7.01,93,100,8.23,IS,1680530676
118,mamakan,57.8161,114.0028,-5.29,85,100,6.1,RU,1680530676
119,srednekolymsk,67.45,153.6833,-24.51,95,90,2.31,RU,1680530676
120,muskegon,43.3,-86.1334,9.77,60,100,2.57,US,1680530676
121,lagoa,39.05,-27.9833,14.44,66,86,4.75,PT,1680530676
122,sitamarhi,26.6,85.4833,27.9,29,0,3.46,IN,1680530677
123,neiafu,-18.65,-173.9833,21.38,94,20,0.0,TO,1680530677
124,sibolga,1.7427,98.7792,25.08,87,100,1.26,ID,1680530659
125,svetlogorsk,52.6333,29.7333,0.86,97,100,5.41,BY,1680530677
126,hermosillo,29.0667,-110.9667,17.14,29,40,2.57,MX,1680530673
127,buin,-33.7333,-70.75,22.63,36,100,0.81,CL,1680530677
128,ourinhos,-22.9789,-49.8706,24.06,57,0,2.43,BR,1680529973
129,sao filipe,14.8961,-24.4956,24.35,69,11,4.54,CV,1680530677
130,port lavaca,28.615,-96.6261,25.17,87,100,5.66,US,1680530640
131,athens,37.9795,23.7162,14.53,86,100,7.6,GR,1680530291
132,myre,69.1036,15.9492,4.38,87,92,10.57,NO,1680530677
133,isangel,-19.55,169.2667,26.33,86,31,2.2,VU,1680530677
134,kabo,7.6994,18.629,41.19,13,65,1.77,CF,1680530677
135,mahanoro,-19.9,48.8,26.3,79,55,2.35,MG,1680530677
136,alekseyevka,50.6309,38.6903,9.05,84,100,4.01,RU,1680530408
137,aba,5.1066,7.3667,30.35,63,100,3.49,NG,1680530677
138,chervonohryhorivka,47.623,34.5389,9.46,81,100,4.24,UA,1680530677
139,victoria,22.2855,114.1577,22.2,94,76,0.89,HK,1680530412
140,solnechnyy,50.7214,136.6319,4.24,84,100,2.71,RU,1680530677
141,pangoa,-12.1167,-73.0,24.62,77,100,0.8,PE,1680530678
142,camacari,-12.6975,-38.3242,30.87,43,40,3.49,BR,1680530404
143,saint-georges,12.0564,-61.7485,26.64,69,10,6.28,GD,1680530387
144,bethel,41.3712,-73.414,8.03,49,0,4.12,US,1680530678
145,athabasca,54.7169,-113.2854,-3.59,96,99,1.31,CA,1680530583
146,port alfred,-33.5906,26.891,21.77,74,86,3.58,ZA,1680530678
147,bengkulu,-3.8004,102.2655,24.71,88,100,1.84,ID,1680530678
148,trelew,-43.249,-65.3051,16.61,49,0,2.88,AR,1680530678
149,puerto el triunfo,13.2833,-88.55,28.53,43,100,1.39,SV,1680530678
150,cherskiy,68.75,161.3,-29.1,95,41,3.32,RU,1680530678
151,bartica,6.4,-58.6167,29.18,61,94,2.11,GY,1680530678
152,panna,24.7167,80.2,30.68,18,14,2.64,IN,1680530678
153,saint-philippe,-21.3585,55.7679,25.77,82,100,2.22,RE,1680530679
154,brokopondo,4.75,-55.1667,27.07,67,93,2.95,SR,1680530679
155,tuktoyaktuk,69.4541,-133.0374,-24.0,77,75,2.06,CA,1680530679
156,kununurra,-15.7667,128.7333,25.99,83,88,1.54,AU,1680530679
